id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
241751,21216,KTPH,7057,80,ASP,1,0,15,38.0675010681152,-117.093002319335,5426,165,,33,38.0488014221191,-117.085998535156,5392,345,
243840,3927,KTPL,4740,100,ASP,1,0,2,31.1476993560791,-97.4095001220703,674,27.6,,20,31.1592998504638,-97.4024963378906,665,207.6,
243841,3927,KTPL,6301,150,ASP,1,0,15,31.1599998474121,-97.4122009277343,682,162.6,,33,31.1434993743896,-97.4060974121093,669,342.6,
245565,21217,KTQE,4002,75,CON,1,0,14,41.7685012817382,-96.1811981201171,1027,153.5,,32,41.7585983276367,-96.1746978759765,1025,333.5,
244740,21218,KTQH,4000,75,ASP,1,0,17,35.934398651123,-95.0043029785156,873,182,,35,35.9234008789062,-95.0047988891601,851,2,
240990,21219,KTQK,1900,60,GRS,0,0,8,38.4766998291015,-100.888999938964,,90,,26,38.4766998291015,-100.882003784179,,270,
240991,21219,KTQK,4999,70,ASP,1,0,17,38.481201171875,-100.88500213623,2960,179,,35,38.4673995971679,-100.88500213623,2956,359,
241224,3928,KTRI,8030,150,ASP,1,0,5,36.4653015136718,-82.4190979003906,1488,42.6,,23,36.4814987182617,-82.4007034301757,1518,222.6,
241225,3928,KTRI,4442,150,ASP,1,0,9,36.4782981872558,-82.4104995727539,1519,89,,27,36.4785003662109,-82.3954010009765,1509,269,
240909,21220,KTRK,4650,75,ASP,1,0,2,39.3144989013671,-120.139999389648,5886,29.9,,20,39.3255996704101,-120.132003784179,5891,209.9,115
240910,21220,KTRK,7000,100,ASP,1,0,11,39.3247985839843,-120.152999877929,5897,120.1,,29,39.315200805664,-120.130996704101,5889,300.1,
244721,21221,KTRL,3014,75,ASP,1,0,14,32.7136993408203,-96.2706985473632,472,145.2,,32,32.7069015502929,-96.2650985717773,469,325.2,
244722,21221,KTRL,5006,75,ASP,1,0,17,32.7154006958007,-96.2670974731445,474,179.9,,35,32.7015991210937,-96.2670974731445,456,359.9,
245474,21222,KTRM,4995,100,ASP,1,0,12,33.630199432373,-116.170997619628,-116,135,,30,33.6204986572265,-116.158996582031,-131,315,
245475,21222,KTRM,8500,150,ASP,1,0,17,33.6390991210937,-116.15599822998,-115,180,,35,33.6157989501953,-116.15599822998,-135,360,
240507,21223,KTRX,4310,75,ASP,1,0,18,40.0894012451171,-93.5906982421875,757,179,267,36,40.0775985717773,-93.5904998779296,754,359,400
240116,21225,KTSO,4300,75,ASP,1,0,7,40.5592994689941,-81.0845031738281,1163,64.4,,25,40.5643997192382,-81.0705032348632,1163,244.4,
240691,21226,KTSP,4031,75,ASP,1,0,11,35.1380996704101,-118.444999694824,3962,124,285,29,35.1319007873535,-118.43399810791,3997,304,375
240296,21227,KTTA,6570,100,ASP,1,0,3,35.5738983154296,-79.1052017211914,246,20.6,,21,35.5908012390136,-79.0975036621093,230,200.6,
241408,21228,KTTD,5399,150,ASP,1,0,7,45.5491981506347,-122.412002563476,28,89,,25,45.5494995117187,-122.390998840332,39,269,
241716,21229,KTTF,5000,100,ASP,1,0,3,41.9336013793945,-83.4382019042968,611,22.5,,21,41.9462013244628,-83.4311981201171,615,202.5,
240205,3929,KTTN,6006,150,ASP,1,0,6,40.2697982788085,-74.8216018676757,160,47,,24,40.2811012268066,-74.8059997558593,192,227,
240206,3929,KTTN,4800,150,ASP,1,0,16,40.2836990356445,-74.818000793457,212,145.7,,34,40.2728004455566,-74.8082962036132,174,325.7,
241922,21230,KTTS,15000,300,CON,1,0,15,28.6327991485595,-80.7061004638671,10,150,,33,28.5970001220703,-80.6827011108398,10,330,
245713,3930,KTUL,7372,150,CON,1,0,8,36.1954002380371,-95.8990020751953,671,89.4,,26,36.1955986022949,-95.8740005493164,633,269.4,
245715,3930,KTUL,9999,200,CON,1,0,18L,36.2139015197753,-95.8813018798828,626,183.1,,36R,36.1865005493164,-95.8831024169921,644,3.1,
245714,3930,KTUL,6101,150,ASP,1,0,18R,36.2071990966796,-95.8991012573242,634,183.1,,36L,36.1904983520507,-95.9001998901367,677,3.1,
242116,3931,KTUP,6500,100,ASP,1,0,18,34.277000427246,-88.7698974609375,342,180,,36,34.2592010498046,-88.7698974609375,346,360,
242912,3932,KTUS,7000,150,ASP,1,0,3,32.1171989440918,-110.958999633789,2564,45,841,21,32.1307983398437,-110.943000793457,2569,225,
242914,3932,KTUS,10996,150,ASP,1,0,11L,32.1234016418457,-110.947998046875,2578,135,,29R,32.1020011901855,-110.922996520996,2643,315,
242913,3932,KTUS,8408,75,ASP,1,0,11R,32.1221008300781,-110.949996948242,2585,135.2,1410,29L,32.1058006286621,-110.930000305175,2629,315.2,
241397,21231,KTVB,3002,50,ASP,1,0,3,37.1290016174316,-92.086799621582,1220,32.8,,21,37.1358985900878,-92.0811996459961,1206,212.8,
242058,3933,KTVC,3204,75,ASP,0,1,5,44.7356986999511,-85.5882034301757,624,50.1,,23,44.7412986755371,-85.5787963867187,617,230.1,
242059,3933,KTVC,6501,150,ASP,1,0,10,44.7411994934082,-85.5904006958007,624,94,,28,44.7400016784668,-85.5653991699218,608,274,
242060,3933,KTVC,5379,150,ASP,1,0,18,44.7503013610839,-85.5876998901367,617,180,270,36,44.7355003356933,-85.5876998901367,624,360,
245170,21232,KTVF,4997,75,ASP,1,1,3,48.0616989135742,-96.1928024291992,1116,39,,21,48.0722999572753,-96.1799011230468,1116,219,
245171,21232,KTVF,6503,150,ASP,1,0,13,48.0709991455078,-96.1933975219726,1113,135,,31,48.0583992004394,-96.1744995117187,1112,315,
241783,21233,KTVI,5500,100,ASP,1,0,4,30.8952007293701,-83.8876037597656,239,40,,22,30.9067993164062,-83.8762969970703,235,220,
241784,21233,KTVI,5000,100,ASP,1,0,14,30.9073009490966,-83.8861007690429,264,133,,32,30.8978996276855,-83.874397277832,250,313,
